id,category,is_legal_document,risk_level,language,text
loan_danger_1,loan,true,danger,en,"Loan Agreement. Between Local Rural Credit Union (Lender) and Borrower. The borrower agrees to borrow Rs. 50,000. The interest rate is 60% per annum compounded monthly. The lender holds unconditional rights to seize and take possession of agricultural land survey no. 185 without court notice. An advance processing deduction fee of Rs. 2000 shall be withheld prior to disbursement. Borrower surrenders three signed blank cheques as guarantee."
loan_danger_2,loan,true,danger,en,"Loan Agreement. Between Kisan Quick Cash (Lender) and Borrower. The borrower agrees to borrow Rs. 50,000. The interest rate is 30% per annum compounded monthly. Lender can forfeit borrower ancestral property without arbitration. An advance processing deduction fee of Rs. 5000 shall be withheld prior to disbursement. Borrower surrenders three signed blank cheques as guarantee."
loan_danger_3,loan,true,danger,en,"Loan Agreement. Between Kisan Quick Cash (Lender) and Borrower. The borrower agrees to borrow Rs. 50,000. The interest rate is 30% per annum compounded monthly. Borrower pledges farm land khasra no. 723 as direct liquidation collateral. An advance processing deduction fee of Rs. 10000 shall be withheld prior to disbursement. Borrower surrenders three signed blank cheques as guarantee."
loan_danger_4,loan,true,danger,en,"Loan Agreement. Between Chaudhary Moneylenders (Lender) and Borrower. The borrower agrees to borrow Rs. 50,000. The interest rate is 48% per annum compounded monthly. Borrower pledges farm land khasra no. 191 as direct liquidation collateral. An advance processing deduction fee of Rs. 5000 shall be withheld prior to disbursement. Borrower surrenders three signed blank cheques as guarantee."
loan_danger_5,loan,true,danger,en,"Loan Agreement. Between Kisan Quick Cash (Lender) and Borrower. The borrower agrees to borrow Rs. 50,000. The interest rate is 30% per annum compounded monthly. The lender holds unconditional rights to seize and take possession of agricultural land survey no. 448 without court notice. An advance processing deduction fee of Rs. 10000 shall be withheld prior to disbursement. Borrower surrenders three signed blank cheques as guarantee."
loan_danger_6,loan,true,danger,en,"Loan Agreement. Between Sethji Private Finance (Lender) and Borrower. The borrower agrees to borrow Rs. 50,000. The interest rate is 48% per annum compounded monthly. The lender holds unconditional rights to seize and take possession of agricultural land survey no. 948 without court notice. An advance processing deduction fee of Rs. 2000 shall be withheld prior to disbursement. Borrower surrenders three signed blank cheques as guarantee."
loan_danger_7,loan,true,danger,en,"Loan Agreement. Between Shree Ganesh Finance (Lender) and Borrower. The borrower agrees to borrow Rs. 50,000. The interest rate is 30% per annum compounded monthly. The lender holds unconditional rights to seize and take possession of agricultural land survey no. 319 without court notice. An advance processing deduction fee of Rs. 10000 shall be withheld prior to disbursement. Borrower surrenders three signed blank cheques as guarantee."
loan_danger_8,loan,true,danger,en,"Loan Agreement. Between Sethji Private Finance (Lender) and Borrower. The borrower agrees to borrow Rs. 50,000. The interest rate is 30% per annum compounded monthly. Lender can forfeit borrower ancestral property without arbitration. An advance processing deduction fee of Rs. 10000 shall be withheld prior to disbursement. Borrower surrenders three signed blank cheques as guarantee."
loan_danger_9,loan,true,danger,en,"Loan Agreement. Between Local Rural Credit Union (Lender) and Borrower. The borrower agrees to borrow Rs. 50,000. The interest rate is 72% per annum compounded monthly. Borrower pledges farm land khasra no. 217 as direct liquidation collateral. An advance processing deduction fee of Rs. 7500 shall be withheld prior to disbursement. Borrower surrenders three signed blank cheques as guarantee."
loan_danger_10,loan,true,danger,en,"Loan Agreement. Between Kisan Quick Cash (Lender) and Borrower. The borrower agrees to borrow Rs. 50,000. The interest rate is 72% per annum compounded monthly. Borrower pledges farm land khasra no. 539 as direct liquidation collateral. An advance processing deduction fee of Rs. 7500 shall be withheld prior to disbursement. Borrower surrenders three signed blank cheques as guarantee."
loan_danger_11,loan,true,danger,en,"Loan Agreement. Between Chaudhary Moneylenders (Lender) and Borrower. The borrower agrees to borrow Rs. 50,000. The interest rate is 48% per annum compounded monthly. The lender holds unconditional rights to seize and take possession of agricultural land survey no. 267 without court notice. An advance processing deduction fee of Rs. 10000 shall be withheld prior to disbursement. Borrower surrenders three signed blank cheques as guarantee."
loan_danger_12,loan,true,danger,en,"Loan Agreement. Between Sethji Private Finance (Lender) and Borrower. The borrower agrees to borrow Rs. 50,000. The interest rate is 36% per annum compounded monthly. Borrower pledges farm land khasra no. 803 as direct liquidation collateral. An advance processing deduction fee of Rs. 5000 shall be withheld prior to disbursement. Borrower surrenders three signed blank cheques as guarantee."
loan_danger_13,loan,true,danger,en,"Loan Agreement. Between Shree Ganesh Finance (Lender) and Borrower. The borrower agrees to borrow Rs. 50,000. The interest rate is 30% per annum compounded monthly. The lender holds unconditional rights to seize and take possession of agricultural land survey no. 163 without court notice. An advance processing deduction fee of Rs. 5000 shall be withheld prior to disbursement. Borrower surrenders three signed blank cheques as guarantee."
loan_danger_14,loan,true,danger,en,"Loan Agreement. Between Kisan Quick Cash (Lender) and Borrower. The borrower agrees to borrow Rs. 50,000. The interest rate is 30% per annum compounded monthly. Borrower pledges farm land khasra no. 106 as direct liquidation collateral. An advance processing deduction fee of Rs. 5000 shall be withheld prior to disbursement. Borrower surrenders three signed blank cheques as guarantee."
loan_danger_15,loan,true,danger,en,"Loan Agreement. Between Chaudhary Moneylenders (Lender) and Borrower. The borrower agrees to borrow Rs. 50,000. The interest rate is 72% per annum compounded monthly. The lender holds unconditional rights to seize and take possession of agricultural land survey no. 467 without court notice. An advance processing deduction fee of Rs. 10000 shall be withheld prior to disbursement. Borrower surrenders three signed blank cheques as guarantee."
loan_danger_16,loan,true,danger,en,"Loan Agreement. Between Local Rural Credit Union (Lender) and Borrower. The borrower agrees to borrow Rs. 50,000. The interest rate is 60% per annum compounded monthly. Borrower pledges farm land khasra no. 192 as direct liquidation collateral. An advance processing deduction fee of Rs. 10000 shall be withheld prior to disbursement. Borrower surrenders three signed blank cheques as guarantee."
loan_danger_17,loan,true,danger,en,"Loan Agreement. Between Local Rural Credit Union (Lender) and Borrower. The borrower agrees to borrow Rs. 50,000. The interest rate is 60% per annum compounded monthly. Borrower pledges farm land khasra no. 459 as direct liquidation collateral. An advance processing deduction fee of Rs. 7500 shall be withheld prior to disbursement. Borrower surrenders three signed blank cheques as guarantee."
loan_danger_18,loan,true,danger,en,"Loan Agreement. Between Chaudhary Moneylenders (Lender) and Borrower. The borrower agrees to borrow Rs. 50,000. The interest rate is 36% per annum compounded monthly. Borrower pledges farm land khasra no. 982 as direct liquidation collateral. An advance processing deduction fee of Rs. 2000 shall be withheld prior to disbursement. Borrower surrenders three signed blank cheques as guarantee."
loan_danger_19,loan,true,danger,en,"Loan Agreement. Between Chaudhary Moneylenders (Lender) and Borrower. The borrower agrees to borrow Rs. 50,000. The interest rate is 60% per annum compounded monthly. Lender can forfeit borrower ancestral property without arbitration. An advance processing deduction fee of Rs. 10000 shall be withheld prior to disbursement. Borrower surrenders three signed blank cheques as guarantee."
loan_danger_20,loan,true,danger,en,"Loan Agreement. Between Chaudhary Moneylenders (Lender) and Borrower. The borrower agrees to borrow Rs. 50,000. The interest rate is 36% per annum compounded monthly. Borrower pledges farm land khasra no. 689 as direct liquidation collateral. An advance processing deduction fee of Rs. 5000 shall be withheld prior to disbursement. Borrower surrenders three signed blank cheques as guarantee."
loan_safe_1,loan,true,safe,en,"Official Bank Loan Contract. Between National Rural Bank and Borrower. Sanctioned principal amount Rs. 1,00,000. Simple interest rate of 9% per annum with 36 monthly EMIs. No collateral required under government credit guarantee scheme. Prepayment penalty is zero. Fully compliant with RBI Fair Practices Code."
loan_safe_2,loan,true,safe,en,"Official Bank Loan Contract. Between National Rural Bank and Borrower. Sanctioned principal amount Rs. 1,00,000. Simple interest rate of 9% per annum with 36 monthly EMIs. No collateral required under government credit guarantee scheme. Prepayment penalty is zero. Fully compliant with RBI Fair Practices Code."
loan_safe_3,loan,true,safe,en,"Official Bank Loan Contract. Between National Rural Bank and Borrower. Sanctioned principal amount Rs. 1,00,000. Simple interest rate of 12% per annum with 36 monthly EMIs. No collateral required under government credit guarantee scheme. Prepayment penalty is zero. Fully compliant with RBI Fair Practices Code."
loan_safe_4,loan,true,safe,en,"Official Bank Loan Contract. Between National Rural Bank and Borrower. Sanctioned principal amount Rs. 1,00,000. Simple interest rate of 11% per annum with 36 monthly EMIs. No collateral required under government credit guarantee scheme. Prepayment penalty is zero. Fully compliant with RBI Fair Practices Code."
loan_safe_5,loan,true,safe,en,"Official Bank Loan Contract. Between National Rural Bank and Borrower. Sanctioned principal amount Rs. 1,00,000. Simple interest rate of 9% per annum with 36 monthly EMIs. No collateral required under government credit guarantee scheme. Prepayment penalty is zero. Fully compliant with RBI Fair Practices Code."
loan_safe_6,loan,true,safe,en,"Official Bank Loan Contract. Between National Rural Bank and Borrower. Sanctioned principal amount Rs. 1,00,000. Simple interest rate of 14% per annum with 36 monthly EMIs. No collateral required under government credit guarantee scheme. Prepayment penalty is zero. Fully compliant with RBI Fair Practices Code."
loan_safe_7,loan,true,safe,en,"Official Bank Loan Contract. Between National Rural Bank and Borrower. Sanctioned principal amount Rs. 1,00,000. Simple interest rate of 11% per annum with 36 monthly EMIs. No collateral required under government credit guarantee scheme. Prepayment penalty is zero. Fully compliant with RBI Fair Practices Code."
loan_safe_8,loan,true,safe,en,"Official Bank Loan Contract. Between National Rural Bank and Borrower. Sanctioned principal amount Rs. 1,00,000. Simple interest rate of 14% per annum with 36 monthly EMIs. No collateral required under government credit guarantee scheme. Prepayment penalty is zero. Fully compliant with RBI Fair Practices Code."
